Symbol,Price~,Type,Strike,Exp Date,DTE,Bid,Mid,Ask,Last,Volume,Open Int,Vol/OI,IV,Delta,Time
BAX,29.5,Put,27.50,2025-02-21,63,0.65,0.73,0.8,0.75,11206,138,81.2,33.61%,-0.275034,2024-12-20
NEE,71.67,Call,73.00,2024-12-27,7,0.06,0.2,0.33,0.25,9680,167,57.96,18.10%,0.239374,2024-12-20
NVDA,134.7,Put,117.00,2025-01-03,14,0.41,0.42,0.43,0.43,9317,180,51.76,50.92%,-0.069617,15:59 ET
PENN,18.62,Put,18.00,2024-12-27,7,0.15,0.18,0.21,0.21,7604,152,50.03,45.42%,-0.280262,15:59 ET
ARQT,14.99,Call,17.50,2025-01-17,28,0.0,0.38,0.75,0.6,10181,225,45.25,85.26%,0.30056,15:47 ET
KULR,2.95,Call,3.00,2025-01-17,28,0.75,0.78,0.8,0.8,4359,100,43.59,254.98%,0.630912,2024-12-20
SNAP,11.4,Call,13.50,2025-01-31,42,0.45,0.53,0.6,0.54,10055,231,43.53,78.57%,0.314878,2024-12-20
UPST,68.4,Put,65.00,2025-01-10,21,2.29,3.22,4.15,4.12,4561,112,40.72,89.94%,-0.361556,15:53 ET
BBWI,39.27,Call,41.00,2024-12-27,7,0.15,0.22,0.3,0.25,4103,106,38.71,38.05%,0.216845,2024-12-20
INTC,19.52,Put,8.00,2027-01-15,756,0.47,0.5,0.53,0.49,6276,163,38.5,53.73%,-0.054611,15:58 ET
MSTR,364.2,Put,155.00,2024-12-27,7,0.18,0.21,0.24,0.25,10587,292,36.26,254.76%,-0.004665,15:59 ET
TECK,40.94,Put,35.00,2025-02-21,63,0.41,0.51,0.61,0.7,3718,109,34.11,39.11%,-0.139984,2024-12-20
NBIS,26.71,Call,29.00,2025-01-17,28,1.55,1.9,2.25,1.65,3940,119,33.11,84.84%,0.413829,15:59 ET
PINS,29.49,Call,30.50,2024-12-27,7,0.15,0.16,0.18,0.15,3713,113,32.86,29.79%,0.219356,2024-12-20
XP,12.19,Call,13.00,2025-01-17,28,0.25,0.33,0.4,0.45,10770,333,32.34,50.46%,0.318105,15:54 ET
HD,392.6,Put,360.00,2025-02-21,63,3.1,3.9,4.7,3.8,10548,345,30.57,24.20%,-0.17164,2024-12-20
IONQ,44.42,Put,45.00,2024-12-20,0,0.22,0.44,0.65,0.62,6675,228,29.28,24.11%,-0.848062,2024-12-20
XOM,105.87,Put,102.00,2024-12-27,7,0.13,0.15,0.16,0.16,2921,100,29.21,21.71%,-0.103967,2024-12-20
HAL,25.97,Put,25.50,2024-12-27,7,0.13,0.16,0.19,0.15,4067,140,29.05,23.69%,-0.279702,2024-12-20
HRL,31.68,Call,32.00,2025-01-17,28,0.4,0.48,0.55,0.45,4110,152,27.04,16.67%,0.428757,2024-12-20
TSLA,421.06,Put,220.00,2025-01-03,14,0.31,0.36,0.4,0.36,10347,384,26.95,147.15%,-0.008151,15:58 ET
RKT,11.82,Call,12.50,2025-01-10,21,0.2,0.3,0.4,0.3,5183,204,25.41,48.72%,0.345401,2024-12-20
IONQ,44.42,Put,45.00,2025-01-17,28,6.45,6.85,7.25,7.24,3933,167,23.55,143.18%,-0.431639,2024-12-20
SMCI,31.59,Put,16.00,2025-04-17,117,0.85,0.96,1.06,0.96,5207,230,22.64,112.22%,-0.079584,15:25 ET
GME,29.82,Put,28.00,2025-02-21,63,3.5,3.6,3.7,3.59,2229,100,22.29,93.59%,-0.359118,2024-12-20
AMAT,163.59,Put,150.00,2025-03-21,90,4.85,5.82,6.8,6.9,10054,470,21.39,38.05%,-0.277176,15:45 ET
META,585.25,Call,595.00,2025-01-03,14,9.6,9.8,10.0,9.8,2579,123,20.97,29.85%,0.410691,15:59 ET
NVDA,134.7,Put,123.00,2024-12-27,7,0.32,0.33,0.35,0.35,44686,2193,20.38,48.78%,-0.082144,15:59 ET
ACHR,9.49,Put,8.00,2025-07-18,209,2.1,2.18,2.25,2.15,4067,201,20.23,114.89%,-0.257558,2024-12-20
MSTR,364.2,Call,310.00,2024-12-27,7,55.7,57.28,58.85,58.15,3278,166,19.75,109.17%,0.874373,15:58 ET
STM,24.61,Put,23.00,2025-03-21,90,1.2,1.28,1.35,1.25,2009,102,19.7,42.94%,-0.324623,2024-12-20
ARQT,14.99,Put,12.50,2025-01-17,28,0.0,0.38,0.75,0.38,5000,259,19.31,83.60%,-0.180421,14:29 ET
